,id,name,lat,lon,fequency
146,1177,McBryde Cr opp Erindale College,-35.404013,149.095842,885
147,1178,Amsinck St after McBryde Cr,-35.405553999999995,149.093547,513
148,1179,Amsinck St before McBryde Cr,-35.405601000000004,149.093296,505
149,1180,MacKillop College McBryde Cr,-35.406139,149.09058100000001,497
150,1181,McBryde Cr opp MacKillop College,-35.406264,149.090564,502
151,1182,Woodcock Dr before Clare Dennis Av,-35.441863,149.086183,508
152,1183,Woodcock Dr opp Clare Dennis Av,-35.441691999999996,149.086154,529
153,1184,Clare Dennis Av before Armbruster St,-35.443044,149.085974,516
154,1185,Clare Dennis Av before 1st Fred Ln Cr,-35.445159000000004,149.0878,516
155,1186,Clare Dennis Av before 2nd Fred Ln Cr,-35.446768,149.086077,516
156,1187,Clare Dennis Av before Preddey Way,-35.447089,149.08383999999998,516
157,1188,Lewis Luxton Av after Preddy Way,-35.448402,149.086122,516
158,1189,Lewis Luxton Av opp Blinkhorn Pl,-35.450435999999996,149.08909,516
159,1190,Lewis Luxton Av opp 2nd Cerutty Cr,-35.452903000000006,149.08796999999998,516
160,1191,Knoke Av opp Gordon PS,-35.458121000000006,149.086118,538
161,1192,Knoke Av before Oxenham Cct,-35.460578000000005,149.08565900000002,538
162,1193,Knoke Av after Jim Pike Av,-35.462281,149.083208,538
163,1194,Jim Pike Av before Clem Hill St,-35.462016,149.079911,1056
164,1195,Callaway Cr at 1st Myles Connell Cr,-35.459068,149.080047,1056
165,1196,39 Callaway Cr,-35.460035999999995,149.081737,1056
166,1197,Bugden Av after 2nd Chataway Cr,-35.398638,149.117563,433
167,1198,Bugden Av opp 1st Chataway Cr,-35.398045,149.118252,443
168,1199,Knoke Av after Clem Hill St,-35.464786,149.08418799999998,538
169,1200,Knoke Av after 2nd Harry Hopman Cct,-35.467259000000006,149.087641,538
170,1201,Knoke Av after 1st Harry Hopman Cct,-35.472807,149.089281,538
171,1202,Pockett Av after Bellchambers Cr,-35.474078000000006,149.093168,537
172,1203,Pockett Av after Wilson Cr,-35.471702,149.096924,1046
173,1204,Pockett Av after 2nd Ironbark Cr,-35.469475,149.097634,536
174,1205,Pockett Av after Perrin Cct,-35.467558000000004,149.09536200000002,536
175,1206,Pockett Av before Thomas Hart St,-35.46528,149.094099,536
176,1207,Tom Roberts Av before Box Hill Av,-35.463823,149.096494,539
177,1208,Tom Roberts Av opp Charles Conder PS,-35.465324,149.098411,539
178,1210,Tom Roberts Av before Jane Sutherland St,-35.466303,149.10560700000002,540
179,1211,Tom Roberts Av before 1st Templestowe Av,-35.462228,149.10519299999999,540
180,1212,Tom Roberts Av opp John Russell Cct,-35.461222,149.10220800000002,540
181,1213,Tom Roberts Av after Box Hill Av,-35.460419,149.099253,540
182,1214,Tom Roberts Av after 1st Beaumaris St,-35.466403,149.10041999999999,512
183,1215,Box Hill Av opp Lanyon Marketplace,-35.456171000000005,149.09249499999999,1598
184,1216,Box Hill Av opp St Clare of Assisi PS,-35.457716,149.097362,1582
185,1217,Lanyon Marketplace Box Hill Av,-35.456354,149.09246299999998,1347
186,1218,St Clare of Assisi PS Box Hill Av,-35.457981,149.097464,1561
187,1219,Tom Roberts Av before Box Hill Av,-35.46047,149.09901499999998,514
